index,Player,Opp_Team,Opp_Team_W/L %,Opp_Winning_Record,Opp_Playoff_Team,Opp_Team_Wins,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,TS%,USG%,ORtg,DRtg,+/-,AvMP,AvPTS,AvRB,AvAST,Year
117,James_Harden,Brooklyn,0.512,Yes,Yes,49,1,1,45,16,34,5,19,21,23,1,10,6,1,1,4,5,58,0.471,0.263,0.913,0.657,44.3,133,127,-8.2,45,58,10,6,2019
118,James_Harden,Chicago,0.268,No,No,42,2,2,64,16,33,11,23,12,15,0,7,14,5,1,15,4,55,0.485,0.478,0.8,0.694,37.3,107,94,15.5,31.8,27.5,3.5,7,2019
119,James_Harden,Charlotte,0.476,No,No,22,2,2,71,17,50,4,20,20,21,1,9,17,5,1,5,5,58,0.34,0.2,0.952,0.49,38.2,108,106,-2,35.4,29,4.5,8.5,2019
120,James_Harden,Cleveland,0.232,No,No,39,2,2,73,26,54,13,28,18,23,1,14,25,3,2,13,5,83,0.481,0.464,0.783,0.647,46.6,124,115,17.8,36.6,41.5,7,12.5,2019
121,James_Harden,Dallas,0.402,No,No,19,4,4,143,34,85,19,59,24,26,3,28,36,12,2,24,15,111,0.4,0.322,0.923,0.575,37.4,108,110,-4.3,35.9,27.8,7,9,2019
122,James_Harden,Denver,0.659,Yes,Yes,33,4,4,146,33,77,20,50,36,46,5,22,40,7,4,19,11,122,0.429,0.4,0.783,0.627,36.9,125,115,9.3,36.6,30.5,5.5,10,2019
123,James_Harden,Detroit,0.5,Yes,Yes,54,2,2,77,19,47,7,20,31,33,2,9,17,4,1,13,8,76,0.404,0.35,0.939,0.618,43.5,120,120,-3.3,38.6,38,4.5,8.5,2019
124,James_Harden,Golden State,0.695,Yes,Yes,41,3,3,114,31,78,16,49,22,26,2,16,28,6,2,10,9,100,0.397,0.327,0.846,0.559,40.3,118,113,8,37.8,33.3,5.3,9.3,2019
125,James_Harden,Indiana,0.585,Yes,Yes,57,2,2,73,16,35,13,30,23,24,0,11,15,4,2,14,10,68,0.457,0.433,0.958,0.746,38.6,123,102,14.3,36.6,34,5.5,7.5,2019
126,James_Harden,LA Clippers,0.585,Yes,Yes,48,2,2,70,20,41,7,19,15,18,1,11,21,2,0,9,4,62,0.488,0.368,0.833,0.634,35.5,123,111,14.6,35.1,31,5.5,10.5,2019
